antecedents,consequents,support,confidence,lift
"Do you attend your morning class regularly?=Yes, How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.024266936299292215,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, The average time you spend playing games?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Low, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.021233569261880688,1.0,2.996969696969697
"Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.030333670374115267,1.0,2.996969696969697
"Do you fill Fatigue?=No, The average time you spend playing games?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01314459049544995,1.0,2.996969696969697
"Do you fill Fatigue?=No, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.019211324570273004,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Low, The average time you spend playing games?=High, Your  current CGPA?=3.0",Your  current CGPA? (categorical)=Average,0.010111223458038422,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.012133468149646108,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.016177957532861477,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.011122345803842264,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, When you go to sleep?=Late, Your  current CGPA?=3.0",Your  current CGPA? (categorical)=Average,0.01820020222446916,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.025278058645096056,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.017189079878665317,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.014155712841253791,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=3.0",Your  current CGPA? (categorical)=Average,0.012133468149646108,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, When you go to sleep?=Late, Your  current CGPA?=3.0",Your  current CGPA? (categorical)=Average,0.014155712841253791,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.014155712841253791,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, When you go to sleep?=Late, Your  current CGPA?=3.0",Your  current CGPA? (categorical)=Average,0.010111223458038422,1.0,2.996969696969697
